id,Instance_number,Medu,address_U,Mjob_teacher,paid_yes,yes,Cluster
1,0,4,1,0,0,0,cluster0
2,1,1,1,0,0,1,cluster2
3,2,1,1,0,1,1,cluster1
4,3,4,1,0,1,1,cluster1
5,4,3,1,0,1,0,cluster1
6,5,4,1,0,1,1,cluster1
7,6,2,1,0,0,1,cluster2
8,7,4,1,0,0,0,cluster0
9,8,3,1,0,1,1,cluster1
10,9,3,1,0,1,1,cluster1
11,10,4,1,1,1,1,cluster3
12,11,2,1,0,0,1,cluster2
13,12,4,1,0,1,1,cluster1
14,13,4,1,1,1,1,cluster3
15,14,2,1,0,0,1,cluster2
16,15,4,1,0,0,1,cluster0
17,16,4,1,0,1,1,cluster1
18,17,3,1,0,0,0,cluster0
19,18,3,1,0,0,1,cluster0
20,19,4,1,0,1,1,cluster1
21,20,4,1,1,0,1,cluster0
22,21,4,1,0,1,1,cluster1
23,22,4,1,1,0,1,cluster0
24,23,2,1,0,0,1,cluster2
25,24,2,0,0,1,1,cluster1
26,25,2,1,0,1,1,cluster1
27,26,2,1,0,1,1,cluster1
28,27,4,1,0,1,1,cluster1
29,28,3,1,0,0,1,cluster0
30,29,4,1,1,1,1,cluster3
31,30,4,1,0,1,1,cluster1
32,31,4,1,0,0,1,cluster0
33,32,4,0,1,0,1,cluster0
34,33,3,1,0,0,1,cluster0
35,34,3,1,0,1,1,cluster1
36,35,2,1,0,0,0,cluster2
37,36,4,1,1,0,1,cluster0
38,37,4,0,0,0,1,cluster2
39,38,3,0,0,1,1,cluster1
40,39,2,0,0,1,0,cluster1
41,40,2,1,0,0,1,cluster2
42,41,4,1,1,0,1,cluster0
43,42,4,1,0,0,1,cluster0
44,43,2,1,0,0,1,cluster2
45,44,2,1,0,0,1,cluster2
46,45,4,1,0,1,1,cluster1
47,46,3,1,0,0,1,cluster0
48,47,4,1,0,0,1,cluster0
49,48,4,1,1,1,0,cluster3
50,49,4,1,0,0,1,cluster0
51,50,2,1,0,1,1,cluster1
52,51,4,1,0,1,1,cluster1
53,52,4,1,0,0,0,cluster0
54,53,4,1,0,1,1,cluster1
55,54,3,1,0,1,1,cluster1
56,55,2,1,0,1,1,cluster1
57,56,4,1,0,1,1,cluster1
58,57,4,1,1,0,0,cluster0
59,58,1,1,0,0,1,cluster2
60,59,4,1,0,0,1,cluster0
61,60,4,0,0,0,0,cluster2
62,61,1,1,0,0,1,cluster2
63,62,1,1,0,0,1,cluster2
64,63,4,1,1,1,1,cluster3
65,64,4,1,0,0,1,cluster0
66,65,4,1,1,0,1,cluster0
67,66,4,1,0,0,1,cluster0
68,67,3,1,0,1,1,cluster1
69,68,2,0,0,1,1,cluster1
70,69,3,0,0,0,1,cluster2
71,70,3,1,0,1,1,cluster1
72,71,4,1,0,0,1,cluster0
73,72,1,0,0,0,1,cluster2
74,73,3,1,0,0,0,cluster0
75,74,3,1,0,1,1,cluster1
76,75,4,1,1,1,1,cluster3
77,76,4,1,1,0,1,cluster0
78,77,2,1,0,1,1,cluster1
79,78,2,1,0,0,1,cluster2
80,79,3,1,0,0,1,cluster0
81,80,2,1,0,1,1,cluster1
82,81,2,1,0,1,1,cluster1
83,82,3,1,0,1,1,cluster1
84,83,2,1,0,1,1,cluster1
85,84,1,1,0,0,1,cluster2
86,85,4,1,0,1,1,cluster1
87,86,2,1,0,0,0,cluster2
88,87,4,1,0,0,1,cluster0
89,88,2,1,0,1,1,cluster1
90,89,4,1,1,0,0,cluster0
91,90,3,1,0,1,1,cluster1
92,91,4,1,0,1,1,cluster1
93,92,3,1,0,0,0,cluster0
94,93,4,1,1,1,1,cluster3
95,94,2,1,0,0,1,cluster2
96,95,1,0,0,1,1,cluster1
97,96,4,0,0,0,1,cluster2
98,97,2,1,0,1,0,cluster1
99,98,4,1,0,0,1,cluster0
100,99,4,1,0,1,1,cluster1
101,100,4,1,0,1,1,cluster1
102,101,4,1,0,0,1,cluster0
103,102,4,1,0,0,1,cluster0
104,103,3,1,0,1,1,cluster1
105,104,3,1,0,1,1,cluster1
106,105,3,1,0,0,0,cluster0
107,106,2,1,0,1,1,cluster1
108,107,3,1,0,0,1,cluster0
109,108,4,0,0,1,1,cluster1
110,109,4,1,0,1,1,cluster1
111,110,4,1,1,0,1,cluster0
112,111,3,0,0,0,1,cluster2
113,112,2,1,0,0,1,cluster2
114,113,4,1,1,0,1,cluster0
115,114,2,0,0,0,1,cluster2
116,115,4,1,1,0,1,cluster0
117,116,4,1,0,0,0,cluster0
118,117,3,1,0,0,1,cluster0
119,118,1,0,0,0,1,cluster2
120,119,3,1,0,0,1,cluster0
121,120,1,1,0,0,1,cluster2
122,121,2,1,0,1,1,cluster1
123,122,2,1,0,1,1,cluster1
124,123,4,1,0,0,1,cluster0
125,124,2,1,0,1,1,cluster1
126,125,3,1,0,0,1,cluster0
127,126,3,1,0,0,1,cluster0
128,127,0,1,0,0,0,cluster2
129,128,2,0,0,0,1,cluster2
130,129,4,0,1,1,1,cluster3
131,130,3,0,0,0,1,cluster2
132,131,1,1,0,0,1,cluster2
133,132,2,1,0,0,1,cluster2
134,133,3,1,0,0,1,cluster0
135,134,3,0,0,0,0,cluster2
136,135,4,1,0,0,1,cluster0
137,136,3,0,0,0,0,cluster2
138,137,3,1,0,0,1,cluster0
139,138,1,1,0,0,0,cluster2
140,139,4,1,1,0,1,cluster0
141,140,4,1,1,0,1,cluster0
142,141,2,1,0,0,1,cluster2
143,142,4,1,1,1,1,cluster3
144,143,1,1,0,0,1,cluster2
145,144,2,1,0,0,1,cluster2
146,145,1,1,0,1,1,cluster1
147,146,3,1,0,0,1,cluster0
148,147,1,1,0,1,1,cluster1
149,148,4,1,1,0,1,cluster0
150,149,2,1,0,0,1,cluster2
151,150,1,1,0,0,1,cluster2
152,151,2,1,0,0,0,cluster2
153,152,3,0,0,1,1,cluster1
154,153,3,1,0,0,1,cluster0
155,154,4,1,0,0,0,cluster0
156,155,2,0,0,1,0,cluster1
157,156,1,0,0,0,0,cluster2
158,157,1,0,0,0,0,cluster2
159,158,2,0,0,0,0,cluster2
160,159,3,1,0,1,1,cluster1
161,160,2,0,0,0,1,cluster2
162,161,3,0,0,0,1,cluster2
163,162,1,1,0,0,0,cluster2
164,163,1,1,0,0,1,cluster2
165,164,1,0,0,0,0,cluster2
166,165,3,1,0,0,0,cluster0
167,166,2,1,0,0,1,cluster2
168,167,4,1,0,1,1,cluster1
169,168,2,1,0,1,1,cluster1
170,169,4,1,0,1,1,cluster1
171,170,3,1,0,0,1,cluster0
172,171,1,1,0,1,1,cluster1
173,172,4,1,1,1,1,cluster3
174,173,1,1,0,0,1,cluster2
175,174,3,1,0,1,1,cluster1
176,175,4,1,1,1,1,cluster3
177,176,2,1,0,1,1,cluster1
178,177,3,1,0,0,1,cluster0
179,178,4,0,1,0,1,cluster0
180,179,4,1,0,0,1,cluster0
181,180,4,1,1,1,1,cluster3
182,181,3,1,0,1,1,cluster1
183,182,2,1,0,0,0,cluster2
184,183,3,1,0,0,1,cluster0
185,184,3,1,0,1,1,cluster1
186,185,3,1,0,0,1,cluster0
187,186,1,1,0,1,1,cluster1
188,187,2,1,0,1,1,cluster1
189,188,3,1,0,0,1,cluster0
190,189,1,0,0,0,0,cluster2
191,190,2,1,0,0,1,cluster2
192,191,1,1,0,0,1,cluster2
193,192,1,1,0,1,1,cluster1
194,193,3,0,0,0,1,cluster2
195,194,2,1,0,0,1,cluster2
196,195,2,1,0,0,1,cluster2
197,196,4,1,0,0,1,cluster0
198,197,3,0,1,1,1,cluster3
199,198,4,1,0,0,1,cluster0
200,199,4,1,1,1,1,cluster3
201,200,4,1,0,0,1,cluster0
202,201,2,1,0,1,0,cluster1
203,202,1,1,0,1,0,cluster1
204,203,2,0,0,0,1,cluster2
205,204,2,0,0,1,1,cluster1
206,205,3,1,0,1,1,cluster1
207,206,3,1,0,1,1,cluster1
208,207,4,1,1,1,1,cluster3
209,208,1,1,0,1,0,cluster1
210,209,4,0,1,1,1,cluster3
211,210,3,1,0,1,1,cluster1
212,211,4,1,0,1,1,cluster1
213,212,2,1,0,1,1,cluster1
214,213,2,1,0,1,1,cluster1
215,214,4,0,0,1,0,cluster1
216,215,3,1,0,1,1,cluster1
217,216,4,1,0,1,1,cluster1
218,217,3,1,0,1,1,cluster1
219,218,2,1,0,1,0,cluster1
220,219,2,1,0,1,1,cluster1
221,220,2,0,0,0,1,cluster2
222,221,1,1,0,0,0,cluster2
223,222,2,1,0,0,1,cluster2
224,223,2,1,0,1,1,cluster1
225,224,4,1,1,0,1,cluster0
226,225,3,0,0,0,1,cluster2
227,226,3,1,0,0,1,cluster0
228,227,2,1,0,1,1,cluster1
229,228,2,1,0,1,1,cluster1
230,229,2,1,0,0,1,cluster2
231,230,4,1,0,0,1,cluster0
232,231,2,0,0,1,1,cluster1
233,232,4,1,1,0,1,cluster0
234,233,4,1,0,1,1,cluster1
235,234,1,1,0,1,1,cluster1
236,235,3,1,0,0,1,cluster0
237,236,2,1,0,1,1,cluster1
238,237,2,1,0,0,1,cluster2
239,238,2,0,0,0,0,cluster2
240,239,2,1,0,0,1,cluster2
241,240,4,1,0,0,1,cluster0
242,241,4,0,1,1,1,cluster3
243,242,4,1,1,0,1,cluster0
244,243,4,1,0,0,1,cluster0
245,244,2,1,0,1,1,cluster1
246,245,2,1,0,0,1,cluster2
247,246,2,1,0,0,1,cluster2
248,247,3,1,0,0,1,cluster0
249,248,3,0,0,0,1,cluster2
250,249,0,1,0,1,1,cluster1
251,250,3,1,0,0,1,cluster0
252,251,3,1,0,0,1,cluster0
253,252,2,1,0,0,1,cluster2
254,253,2,0,0,0,0,cluster2
255,254,2,0,0,0,1,cluster2
256,255,1,1,0,0,1,cluster2
257,256,4,1,1,1,1,cluster3
258,257,4,1,0,0,1,cluster0
259,258,2,1,0,0,1,cluster2
260,259,2,1,0,1,1,cluster1
261,260,4,1,0,1,1,cluster1
262,261,4,1,1,1,1,cluster3
263,262,3,0,0,0,0,cluster2
264,263,3,1,0,0,0,cluster0
265,264,2,1,0,1,1,cluster1
266,265,3,0,0,1,1,cluster1
267,266,3,1,0,1,1,cluster1
268,267,4,0,1,1,1,cluster3
269,268,4,1,0,1,1,cluster1
270,269,2,0,0,0,1,cluster2
271,270,3,1,0,1,1,cluster1
272,271,2,1,0,1,1,cluster1
273,272,1,1,0,1,0,cluster1
274,273,1,0,0,1,0,cluster1
275,274,2,1,0,1,1,cluster1
276,275,2,1,0,1,1,cluster1
277,276,3,0,0,0,1,cluster2
278,277,4,1,1,1,1,cluster3
279,278,4,1,0,0,1,cluster0
280,279,4,1,1,1,1,cluster3
281,280,4,1,0,1,1,cluster1
282,281,3,1,1,0,1,cluster0
283,282,1,0,0,1,0,cluster1
284,283,1,1,0,0,1,cluster2
285,284,2,1,0,0,1,cluster2
286,285,1,1,0,1,1,cluster1
287,286,2,1,0,1,1,cluster1
288,287,1,1,0,1,1,cluster1
289,288,2,1,0,1,1,cluster1
290,289,4,1,1,1,1,cluster3
291,290,4,1,1,1,1,cluster3
292,291,4,1,0,1,1,cluster1
293,292,2,1,0,0,1,cluster2
294,293,3,0,0,1,0,cluster1
295,294,3,0,0,1,1,cluster1
296,295,3,1,0,1,1,cluster1
297,296,4,1,0,1,1,cluster1
298,297,4,1,0,1,1,cluster1
299,298,4,1,0,1,1,cluster1
300,299,4,1,1,1,1,cluster3
301,300,4,1,0,0,1,cluster0
302,301,4,1,0,1,1,cluster1
303,302,4,1,0,1,1,cluster1
304,303,3,1,0,1,1,cluster1
305,304,3,1,0,0,1,cluster0
306,305,2,1,0,1,1,cluster1
307,306,3,1,0,0,0,cluster0
308,307,4,1,1,1,1,cluster3
309,308,3,0,0,0,0,cluster2
310,309,1,1,0,0,1,cluster2
311,310,1,1,0,0,0,cluster2
312,311,2,1,0,0,1,cluster2
313,312,1,1,0,0,1,cluster2
314,313,3,1,0,1,1,cluster1
315,314,1,1,0,0,1,cluster2
316,315,2,0,0,0,1,cluster2
317,316,2,1,0,1,1,cluster1
318,317,4,1,0,1,1,cluster1
319,318,3,0,0,1,1,cluster1
320,319,4,1,1,1,1,cluster3
321,320,4,1,0,1,1,cluster1
322,321,2,1,0,0,0,cluster2
323,322,2,0,0,1,1,cluster1
324,323,3,1,0,0,1,cluster0
325,324,0,1,0,0,1,cluster2
326,325,4,1,0,0,1,cluster0
327,326,3,1,0,0,1,cluster0
328,327,2,0,0,0,1,cluster2
329,328,4,1,1,1,1,cluster3
330,329,4,1,1,1,1,cluster3
331,330,2,1,0,0,1,cluster2
332,331,2,0,0,0,1,cluster2
333,332,3,1,0,0,1,cluster0
334,333,2,1,0,0,1,cluster2
335,334,2,0,0,0,0,cluster2
336,335,3,1,0,0,1,cluster0
337,336,3,0,0,1,0,cluster1
338,337,3,1,0,1,1,cluster1
339,338,3,1,0,0,1,cluster0
340,339,3,0,0,1,1,cluster1
341,340,2,1,0,1,1,cluster1
342,341,4,1,1,0,1,cluster0
343,342,3,1,0,0,1,cluster0
344,343,2,1,0,0,1,cluster2
345,344,2,1,0,0,1,cluster2
346,345,3,1,0,0,1,cluster0
347,346,4,0,1,0,1,cluster0
348,347,4,1,1,1,1,cluster3
349,348,4,1,0,1,1,cluster1
350,349,3,0,0,0,1,cluster2
351,350,1,0,0,0,1,cluster2
352,351,3,1,0,1,1,cluster1
353,352,1,1,0,0,1,cluster2
354,353,1,0,0,0,1,cluster2
355,354,4,0,0,1,1,cluster1
356,355,3,1,0,0,0,cluster0
357,356,4,0,1,1,1,cluster3
358,357,3,1,0,0,0,cluster0
359,358,1,1,0,0,1,cluster2
360,359,1,1,0,0,1,cluster2
361,360,1,0,0,0,0,cluster2
362,361,1,0,0,0,0,cluster2
363,362,3,1,0,0,1,cluster0
364,363,4,1,0,1,1,cluster1
365,364,1,0,0,0,0,cluster2
366,365,1,0,0,1,0,cluster1
367,366,4,1,1,1,1,cluster3
368,367,1,0,0,1,1,cluster1
369,368,2,1,0,1,1,cluster1
370,369,4,0,0,1,1,cluster1
371,370,3,1,0,0,0,cluster0
372,371,1,0,0,1,1,cluster1
373,372,2,1,0,0,0,cluster2
374,373,1,0,0,0,1,cluster2
375,374,4,0,0,0,1,cluster2
376,375,1,0,0,0,1,cluster2
377,376,4,1,0,1,1,cluster1
378,377,4,0,1,1,1,cluster3
379,378,3,1,0,1,1,cluster1
380,379,3,0,0,1,1,cluster1
381,380,4,1,1,1,1,cluster3
382,381,2,0,0,0,1,cluster2
383,382,2,1,0,0,1,cluster2
384,383,1,0,0,0,0,cluster2
385,384,4,0,0,1,0,cluster1
386,385,2,0,0,1,0,cluster1
387,386,4,0,1,1,1,cluster3
388,387,2,0,0,0,1,cluster2
389,388,3,1,1,1,1,cluster3
390,389,1,1,0,0,0,cluster2
391,390,2,1,0,1,0,cluster1
392,391,3,1,0,0,1,cluster0
393,392,1,0,0,0,0,cluster2
394,393,3,0,0,0,1,cluster2
395,394,1,1,0,0,1,cluster2
