id,Instance_number,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,yes,Cluster
1,0,27.712813,-19.052559,-17.320508,-13.856406,1.732051,3.464102,3.464102,-55.425626,24.248711,-13.856406,0,cluster3
2,1,19.052559,-17.320508,-19.052559,-8.660254,-1.732051,-1.732051,3.464102,-57.157677,13.856406,-17.320508,1,cluster3
3,2,24.248711,-10.392305,-25.980762,-22.51666,1.732051,6.928203,1.732051,-72.746134,29.444864,-15.588457,1,cluster3
4,3,34.641016,-12.124356,-45.033321,-8.660254,-5.196152,-27.712813,0,-77.942286,39.837169,-20.78461,1,cluster0
5,4,31.176915,-13.856406,-22.51666,-12.124356,-8.660254,-1.732051,5.196152,-62.353829,27.712813,-15.588457,0,cluster2
6,5,43.30127,-12.124356,-53.693575,-20.78461,-8.660254,-5.196152,1.732051,-95.262794,50.229473,-24.248711,1,cluster0
7,6,34.641016,-17.320508,-36.373067,-6.928203,-1.732051,-13.856406,6.928203,-69.282032,22.51666,-29.444864,1,cluster2
8,7,22.51666,-22.51666,-17.320508,-17.320508,3.464102,0,1.732051,-53.693575,29.444864,-13.856406,0,cluster3
9,8,41.569219,-20.78461,-46.765372,-5.196152,0,-25.980762,0,-84.87049,34.641016,-36.373067,1,cluster0
10,9,45.033321,-12.124356,-36.373067,-6.928203,-10.392305,-17.320508,6.928203,-74.478185,38.105118,-25.980762,1,cluster0
11,10,29.444864,-13.856406,-20.78461,1.732051,0,-13.856406,0,-50.229473,25.980762,-15.588457,1,cluster3
12,11,34.641016,-6.928203,-34.641016,-8.660254,-6.928203,-15.588457,0,-76.210236,22.51666,-27.712813,1,cluster0
13,12,39.837169,-13.856406,-39.837169,-8.660254,-3.464102,-20.78461,1.732051,-74.478185,41.569219,-19.052559,1,cluster0
14,13,32.908965,-10.392305,-24.248711,-5.196152,-1.732051,-6.928203,0,-60.621778,27.712813,-20.78461,1,cluster3
15,14,43.30127,-15.588457,-41.569219,-5.196152,-3.464102,-19.052559,8.660254,-83.138439,31.176915,-39.837169,1,cluster2
16,15,41.569219,-20.78461,-45.033321,-10.392305,1.732051,-13.856406,3.464102,-79.674337,36.373067,-27.712813,1,cluster1
17,16,39.837169,-17.320508,-48.497423,-12.124356,0,-15.588457,-1.732051,-83.138439,41.569219,-24.248711,1,cluster0
18,17,36.373067,-10.392305,-24.248711,-10.392305,-8.660254,-5.196152,1.732051,-64.08588,24.248711,-20.78461,0,cluster0
19,18,24.248711,-12.124356,-31.176915,-31.176915,5.196152,24.248711,3.464102,-72.746134,41.569219,-6.928203,1,cluster3
20,19,27.712813,-15.588457,-25.980762,-13.856406,-5.196152,-10.392305,1.732051,-64.08588,31.176915,-8.660254,1,cluster3
21,20,39.837169,-15.588457,-32.908965,0,-3.464102,-15.588457,1.732051,-69.282032,29.444864,-25.980762,1,cluster0
22,21,43.30127,-13.856406,-32.908965,-1.732051,-5.196152,-17.320508,5.196152,-69.282032,36.373067,-24.248711,1,cluster0
23,22,39.837169,-10.392305,-38.105118,-8.660254,-8.660254,-15.588457,3.464102,-79.674337,36.373067,-20.78461,1,cluster0
24,23,39.837169,-10.392305,-32.908965,-5.196152,-6.928203,-17.320508,3.464102,-72.746134,22.51666,-25.980762,1,cluster0
25,24,29.444864,-8.660254,-25.980762,-5.196152,-5.196152,-15.588457,1.732051,-62.353829,29.444864,-17.320508,1,cluster3
26,25,25.980762,-13.856406,-43.30127,-27.712813,-1.732051,15.588457,1.732051,-76.210236,43.30127,-6.928203,1,cluster3
27,26,31.176915,-13.856406,-34.641016,-8.660254,-8.660254,-12.124356,1.732051,-69.282032,31.176915,-15.588457,1,cluster3
28,27,38.105118,-22.51666,-51.961524,-10.392305,5.196152,-17.320508,0,-83.138439,41.569219,-22.51666,1,cluster1
29,28,34.641016,-15.588457,-31.176915,-13.856406,-5.196152,-10.392305,1.732051,-72.746134,32.908965,-20.78461,1,cluster0
30,29,36.373067,-12.124356,-51.961524,-34.641016,0,15.588457,3.464102,-88.334591,60.621778,-19.052559,1,cluster1
31,30,36.373067,-13.856406,-19.052559,-3.464102,-5.196152,-12.124356,5.196152,-57.157677,36.373067,-10.392305,1,cluster2
32,31,46.765372,-10.392305,-45.033321,-1.732051,-8.660254,-27.712813,0,-79.674337,41.569219,-22.51666,1,cluster0
33,32,41.569219,-8.660254,-45.033321,-3.464102,-5.196152,-22.51666,3.464102,-77.942286,38.105118,-29.444864,1,cluster0
34,33,31.176915,-15.588457,-20.78461,-6.928203,-3.464102,-10.392305,5.196152,-55.425626,22.51666,-20.78461,1,cluster2
35,34,38.105118,-15.588457,-36.373067,-5.196152,-6.928203,-12.124356,6.928203,-69.282032,29.444864,-24.248711,1,cluster2
36,35,31.176915,-12.124356,-17.320508,-6.928203,-10.392305,-8.660254,6.928203,-53.693575,20.78461,-15.588457,0,cluster2
37,36,41.569219,-12.124356,-46.765372,-10.392305,-1.732051,-19.052559,1.732051,-79.674337,39.837169,-31.176915,1,cluster0
38,37,46.765372,-10.392305,-57.157677,-17.320508,-6.928203,-10.392305,5.196152,-90.066642,46.765372,-32.908965,1,cluster0
39,38,34.641016,-8.660254,-32.908965,-5.196152,-5.196152,-19.052559,1.732051,-69.282032,34.641016,-20.78461,1,cluster0
40,39,34.641016,-17.320508,-48.497423,-15.588457,-5.196152,-8.660254,0,-84.87049,39.837169,-24.248711,0,cluster0
41,40,31.176915,-13.856406,-65.817931,-51.961524,-1.732051,32.908965,5.196152,-100.458947,58.889727,-25.980762,1,cluster1
42,41,36.373067,-12.124356,-39.837169,-19.052559,-3.464102,-0,5.196152,-79.674337,48.497423,-19.052559,1,cluster2
43,42,46.765372,-10.392305,-57.157677,-8.660254,-3.464102,-29.444864,3.464102,-91.798693,46.765372,-31.176915,1,cluster0
44,43,27.712813,-20.78461,-15.588457,-1.732051,0,-8.660254,3.464102,-53.693575,22.51666,-19.052559,1,cluster3
45,44,31.176915,-8.660254,-46.765372,-31.176915,-3.464102,6.928203,6.928203,-86.60254,46.765372,-20.78461,1,cluster2
46,45,25.980762,-12.124356,-24.248711,-20.78461,-8.660254,0,0,-64.08588,36.373067,-12.124356,1,cluster3
47,46,34.641016,-20.78461,-53.693575,-27.712813,1.732051,5.196152,3.464102,-84.87049,45.033321,-22.51666,1,cluster1
48,47,46.765372,-15.588457,-62.353829,-8.660254,-1.732051,-31.176915,0,-100.458947,48.497423,-32.908965,1,cluster0
49,48,36.373067,-10.392305,-43.30127,-6.928203,-5.196152,-17.320508,0,-77.942286,38.105118,-22.51666,0,cluster0
50,49,29.444864,-13.856406,-17.320508,-10.392305,3.464102,-8.660254,6.928203,-53.693575,24.248711,-19.052559,1,cluster2
51,50,38.105118,-12.124356,-38.105118,-6.928203,-1.732051,-15.588457,0,-74.478185,29.444864,-25.980762,1,cluster0
52,51,34.641016,-12.124356,-34.641016,-8.660254,-5.196152,-15.588457,0,-71.014083,25.980762,-22.51666,1,cluster0
53,52,36.373067,-12.124356,-31.176915,-13.856406,1.732051,-3.464102,8.660254,-71.014083,38.105118,-20.78461,0,cluster2
54,53,32.908965,-13.856406,-20.78461,-1.732051,-1.732051,-10.392305,0,-51.961524,24.248711,-10.392305,1,cluster3
55,54,36.373067,-22.51666,-34.641016,-17.320508,1.732051,-1.732051,3.464102,-74.478185,36.373067,-24.248711,1,cluster1
56,55,25.980762,-20.78461,-34.641016,-20.78461,0,1.732051,3.464102,-72.746134,25.980762,-24.248711,1,cluster2
57,56,41.569219,-20.78461,-38.105118,-1.732051,0,-24.248711,0,-72.746134,32.908965,-27.712813,1,cluster0
58,57,39.837169,-8.660254,-46.765372,-6.928203,-6.928203,-15.588457,-1.732051,-76.210236,41.569219,-20.78461,0,cluster0
59,58,29.444864,-12.124356,-27.712813,-12.124356,-6.928203,-10.392305,6.928203,-64.08588,25.980762,-22.51666,1,cluster2
60,59,38.105118,-12.124356,-46.765372,-5.196152,-5.196152,-22.51666,-1.732051,-83.138439,31.176915,-24.248711,1,cluster0
61,60,34.641016,-15.588457,-38.105118,-17.320508,0,-6.928203,3.464102,-72.746134,34.641016,-19.052559,0,cluster2
62,61,32.908965,-10.392305,-32.908965,-13.856406,0,-3.464102,6.928203,-71.014083,32.908965,-22.51666,1,cluster2
63,62,32.908965,-20.78461,-32.908965,-12.124356,0,-5.196152,6.928203,-67.549981,22.51666,-29.444864,1,cluster2
64,63,29.444864,-12.124356,-22.51666,-6.928203,0,-12.124356,3.464102,-58.889727,31.176915,-15.588457,1,cluster3
65,64,34.641016,-17.320508,-20.78461,-3.464102,1.732051,-17.320508,5.196152,-58.889727,24.248711,-20.78461,1,cluster2
66,65,43.30127,-15.588457,-45.033321,-8.660254,3.464102,-20.78461,0,-79.674337,38.105118,-34.641016,1,cluster0
67,66,39.837169,-13.856406,-41.569219,-10.392305,-3.464102,-15.588457,3.464102,-76.210236,48.497423,-20.78461,1,cluster0
68,67,22.51666,-8.660254,-19.052559,-8.660254,-5.196152,-6.928203,0,-62.353829,19.052559,-13.856406,1,cluster3
69,68,25.980762,-12.124356,-22.51666,-5.196152,-3.464102,-13.856406,-3.464102,-58.889727,19.052559,-13.856406,1,cluster3
70,69,41.569219,-8.660254,-64.08588,-24.248711,-6.928203,-6.928203,6.928203,-105.655099,53.693575,-36.373067,1,cluster0
71,70,39.837169,-6.928203,-38.105118,-1.732051,-10.392305,-22.51666,3.464102,-79.674337,27.712813,-31.176915,1,cluster0
72,71,29.444864,-10.392305,-25.980762,-3.464102,-3.464102,-15.588457,3.464102,-60.621778,22.51666,-20.78461,1,cluster3
73,72,20.78461,-6.928203,-17.320508,-5.196152,-3.464102,-6.928203,3.464102,-55.425626,13.856406,-12.124356,1,cluster3
74,73,32.908965,-13.856406,-31.176915,-6.928203,-10.392305,-12.124356,3.464102,-69.282032,27.712813,-13.856406,0,cluster3
75,74,34.641016,-15.588457,-119.511506,-100.458947,-5.196152,76.210236,3.464102,-157.616623,124.707658,-13.856406,1,cluster1
76,75,27.712813,-10.392305,-27.712813,-15.588457,-5.196152,-1.732051,0,-64.08588,36.373067,-10.392305,1,cluster3
77,76,29.444864,-10.392305,-43.30127,-17.320508,1.732051,-3.464102,1.732051,-77.942286,32.908965,-29.444864,1,cluster0
78,77,31.176915,-12.124356,-25.980762,-1.732051,-5.196152,-20.78461,1.732051,-69.282032,19.052559,-22.51666,1,cluster0
79,78,29.444864,-13.856406,-13.856406,-8.660254,-1.732051,0,5.196152,-58.889727,22.51666,-19.052559,1,cluster2
80,79,25.980762,-15.588457,-31.176915,-22.51666,-1.732051,15.588457,1.732051,-64.08588,32.908965,-12.124356,1,cluster3
81,80,32.908965,-17.320508,-32.908965,-8.660254,-3.464102,-12.124356,3.464102,-65.817931,34.641016,-19.052559,1,cluster2
82,81,31.176915,-10.392305,-31.176915,-12.124356,-8.660254,-8.660254,6.928203,-71.014083,36.373067,-15.588457,1,cluster2
83,82,25.980762,-10.392305,-32.908965,-19.052559,-5.196152,8.660254,1.732051,-65.817931,27.712813,-15.588457,1,cluster3
84,83,39.837169,-13.856406,-48.497423,-13.856406,-1.732051,-17.320508,3.464102,-84.87049,39.837169,-25.980762,1,cluster0
85,84,27.712813,-13.856406,-27.712813,-10.392305,-6.928203,-12.124356,6.928203,-65.817931,24.248711,-19.052559,1,cluster2
86,85,36.373067,-6.928203,-24.248711,-10.392305,0,-0,5.196152,-62.353829,32.908965,-15.588457,1,cluster2
87,86,24.248711,-17.320508,-25.980762,-10.392305,1.732051,-5.196152,0,-60.621778,17.320508,-20.78461,0,cluster3
88,87,38.105118,-15.588457,-38.105118,-10.392305,-1.732051,-15.588457,1.732051,-77.942286,31.176915,-27.712813,1,cluster0
89,88,34.641016,-12.124356,-48.497423,-22.51666,-3.464102,3.464102,6.928203,-88.334591,45.033321,-24.248711,1,cluster2
90,89,22.51666,-12.124356,-36.373067,-31.176915,-5.196152,19.052559,-3.464102,-76.210236,57.157677,-0,0,cluster3
91,90,25.980762,-13.856406,-12.124356,-5.196152,-5.196152,-10.392305,3.464102,-51.961524,19.052559,-13.856406,1,cluster3
92,91,48.497423,-19.052559,-53.693575,-8.660254,3.464102,-15.588457,5.196152,-86.60254,34.641016,-34.641016,1,cluster1
93,92,20.78461,-19.052559,-17.320508,-13.856406,-1.732051,-3.464102,5.196152,-57.157677,24.248711,-15.588457,0,cluster3
94,93,29.444864,-19.052559,-25.980762,-5.196152,3.464102,-17.320508,0,-58.889727,27.712813,-22.51666,1,cluster3
95,94,36.373067,-8.660254,-46.765372,-12.124356,-1.732051,-10.392305,1.732051,-79.674337,29.444864,-32.908965,1,cluster0
96,95,24.248711,-12.124356,-24.248711,-8.660254,1.732051,-15.588457,-1.732051,-64.08588,15.588457,-27.712813,1,cluster3
97,96,41.569219,-13.856406,-39.837169,-5.196152,-5.196152,-12.124356,1.732051,-72.746134,27.712813,-25.980762,1,cluster0
98,97,25.980762,-12.124356,-29.444864,-6.928203,-3.464102,-6.928203,1.732051,-60.621778,13.856406,-22.51666,0,cluster3
99,98,41.569219,-20.78461,-43.30127,-13.856406,0,-5.196152,5.196152,-76.210236,34.641016,-25.980762,1,cluster2
100,99,29.444864,-13.856406,-17.320508,-3.464102,1.732051,-10.392305,3.464102,-51.961524,17.320508,-22.51666,1,cluster3
101,100,31.176915,-19.052559,-34.641016,-29.444864,1.732051,19.052559,3.464102,-72.746134,51.961524,-8.660254,1,cluster3
102,101,46.765372,-13.856406,-46.765372,-6.928203,-1.732051,-27.712813,5.196152,-86.60254,38.105118,-36.373067,1,cluster0
103,102,38.105118,-12.124356,-36.373067,-10.392305,-5.196152,-6.928203,1.732051,-69.282032,32.908965,-19.052559,1,cluster0
104,103,24.248711,-15.588457,-60.621778,-48.497423,3.464102,34.641016,1.732051,-93.530744,57.157677,-20.78461,1,cluster1
105,104,48.497423,-19.052559,-48.497423,-3.464102,3.464102,-24.248711,1.732051,-84.87049,32.908965,-41.569219,1,cluster0
106,105,34.641016,-10.392305,-41.569219,-17.320508,-5.196152,-1.732051,6.928203,-79.674337,41.569219,-24.248711,0,cluster2
107,106,22.51666,-10.392305,-27.712813,-17.320508,-5.196152,-1.732051,-1.732051,-69.282032,29.444864,-17.320508,1,cluster3
108,107,45.033321,-12.124356,-51.961524,-8.660254,-5.196152,-25.980762,3.464102,-93.530744,38.105118,-34.641016,1,cluster0
109,108,41.569219,-10.392305,-41.569219,-17.320508,3.464102,-8.660254,5.196152,-77.942286,41.569219,-36.373067,1,cluster0
110,109,43.30127,-13.856406,-48.497423,-12.124356,1.732051,-19.052559,3.464102,-83.138439,38.105118,-36.373067,1,cluster0
111,110,50.229473,-13.856406,-60.621778,-17.320508,-1.732051,-12.124356,5.196152,-93.530744,50.229473,-34.641016,1,cluster0
112,111,27.712813,-13.856406,-15.588457,-1.732051,-1.732051,-19.052559,-1.732051,-60.621778,15.588457,-20.78461,1,cluster3
113,112,31.176915,-12.124356,-39.837169,-15.588457,-5.196152,-10.392305,0,-77.942286,29.444864,-17.320508,1,cluster3
114,113,46.765372,-13.856406,-71.014083,-20.78461,-3.464102,-3.464102,3.464102,-102.190998,53.693575,-34.641016,1,cluster0
115,114,27.712813,-12.124356,-36.373067,-15.588457,-6.928203,-0,3.464102,-71.014083,31.176915,-15.588457,1,cluster3
116,115,41.569219,-10.392305,-43.30127,-8.660254,-1.732051,-19.052559,3.464102,-79.674337,38.105118,-27.712813,1,cluster0
117,116,43.30127,-13.856406,-34.641016,-8.660254,-1.732051,-12.124356,6.928203,-67.549981,32.908965,-31.176915,0,cluster2
118,117,41.569219,-15.588457,-36.373067,-6.928203,-6.928203,-17.320508,8.660254,-71.014083,36.373067,-22.51666,1,cluster2
119,118,25.980762,-8.660254,-50.229473,-39.837169,-3.464102,19.052559,1.732051,-95.262794,51.961524,-15.588457,1,cluster3
120,119,41.569219,-13.856406,-48.497423,-12.124356,-6.928203,-6.928203,6.928203,-81.406388,41.569219,-22.51666,1,cluster2
121,120,36.373067,-19.052559,-55.425626,-5.196152,3.464102,-24.248711,1.732051,-83.138439,32.908965,-29.444864,1,cluster1
122,121,39.837169,-10.392305,-55.425626,-15.588457,-1.732051,-17.320508,6.928203,-93.530744,45.033321,-32.908965,1,cluster2
123,122,38.105118,-10.392305,-38.105118,-8.660254,-6.928203,-20.78461,3.464102,-74.478185,38.105118,-25.980762,1,cluster0
124,123,36.373067,-13.856406,-62.353829,-34.641016,-3.464102,10.392305,1.732051,-98.726896,60.621778,-13.856406,1,cluster1
125,124,25.980762,-13.856406,-19.052559,-5.196152,-5.196152,-8.660254,6.928203,-53.693575,15.588457,-17.320508,1,cluster2
126,125,41.569219,-15.588457,-36.373067,-3.464102,0,-15.588457,8.660254,-69.282032,34.641016,-24.248711,1,cluster2
127,126,32.908965,-20.78461,-13.856406,-8.660254,-1.732051,-10.392305,5.196152,-53.693575,20.78461,-24.248711,1,cluster2
128,127,25.980762,-12.124356,-22.51666,-3.464102,0,-5.196152,3.464102,-69.282032,13.856406,-20.78461,0,cluster3
129,128,19.052559,-15.588457,-8.660254,-1.732051,-1.732051,-8.660254,0,-50.229473,10.392305,-6.928203,1,cluster3
130,129,46.765372,-13.856406,-64.08588,-19.052559,1.732051,-8.660254,5.196152,-96.994845,53.693575,-27.712813,1,cluster1
131,130,13.856406,-3.464102,-5.196152,-3.464102,-1.732051,-24.248711,1.732051,-48.497423,31.176915,-1.732051,1,cluster3
132,131,13.856406,-10.392305,-8.660254,-3.464102,-3.464102,-12.124356,1.732051,-39.837169,10.392305,-6.928203,1,cluster3
133,132,36.373067,-15.588457,-53.693575,-25.980762,-5.196152,8.660254,5.196152,-90.066642,38.105118,-27.712813,1,cluster2
134,133,32.908965,-15.588457,-50.229473,-29.444864,-8.660254,6.928203,1.732051,-95.262794,57.157677,-6.928203,1,cluster3
135,134,19.052559,-5.196152,-5.196152,-3.464102,-3.464102,-12.124356,1.732051,-38.105118,22.51666,-6.928203,0,cluster3
136,135,15.588457,-8.660254,-8.660254,-3.464102,-3.464102,-20.78461,1.732051,-43.30127,25.980762,-1.732051,1,cluster3
137,136,19.052559,-10.392305,-5.196152,-1.732051,-1.732051,-12.124356,3.464102,-45.033321,20.78461,-1.732051,0,cluster3
138,137,15.588457,-10.392305,6.928203,-5.196152,-3.464102,-5.196152,5.196152,-34.641016,15.588457,-1.732051,1,cluster3
139,138,32.908965,-10.392305,-36.373067,-3.464102,-1.732051,-19.052559,3.464102,-76.210236,19.052559,-25.980762,0,cluster0
140,139,43.30127,-8.660254,-43.30127,-5.196152,-5.196152,-24.248711,1.732051,-74.478185,36.373067,-22.51666,1,cluster0
141,140,27.712813,-8.660254,-19.052559,-1.732051,-1.732051,-13.856406,-1.732051,-53.693575,24.248711,-19.052559,1,cluster3
142,141,31.176915,-15.588457,-38.105118,-17.320508,3.464102,-0,1.732051,-72.746134,34.641016,-22.51666,1,cluster1
143,142,31.176915,-8.660254,-27.712813,-6.928203,-5.196152,-13.856406,-3.464102,-60.621778,31.176915,-13.856406,1,cluster3
144,143,36.373067,-20.78461,-46.765372,-6.928203,5.196152,-15.588457,5.196152,-77.942286,25.980762,-32.908965,1,cluster1
145,144,12.124356,-12.124356,3.464102,-5.196152,1.732051,0,5.196152,-36.373067,6.928203,-3.464102,1,cluster3
146,145,31.176915,-12.124356,-25.980762,-3.464102,-6.928203,-10.392305,5.196152,-60.621778,19.052559,-20.78461,1,cluster2
147,146,24.248711,-12.124356,-10.392305,-3.464102,3.464102,-12.124356,3.464102,-48.497423,19.052559,-13.856406,1,cluster3
148,147,31.176915,-10.392305,-34.641016,-5.196152,-6.928203,-12.124356,1.732051,-67.549981,22.51666,-20.78461,1,cluster0
149,148,24.248711,-12.124356,-12.124356,-1.732051,-5.196152,-3.464102,-1.732051,-43.30127,24.248711,-6.928203,1,cluster3
150,149,34.641016,-3.464102,-12.124356,-3.464102,3.464102,-5.196152,5.196152,-55.425626,10.392305,-20.78461,1,cluster2
151,150,19.052559,-13.856406,-8.660254,-3.464102,3.464102,-1.732051,1.732051,-50.229473,6.928203,-10.392305,1,cluster3
152,151,34.641016,-12.124356,-39.837169,-15.588457,-1.732051,-5.196152,3.464102,-79.674337,31.176915,-20.78461,0,cluster0
153,152,31.176915,-8.660254,-31.176915,-15.588457,0,-8.660254,0,-77.942286,43.30127,-17.320508,1,cluster3
154,153,15.588457,-17.320508,3.464102,-1.732051,5.196152,1.732051,5.196152,-38.105118,12.124356,-6.928203,1,cluster3
155,154,32.908965,-17.320508,-22.51666,-5.196152,-6.928203,-15.588457,1.732051,-60.621778,31.176915,-13.856406,0,cluster3
156,155,27.712813,-19.052559,-31.176915,-6.928203,5.196152,-12.124356,3.464102,-60.621778,27.712813,-22.51666,0,cluster3
157,156,31.176915,-15.588457,-55.425626,-17.320508,-10.392305,-8.660254,1.732051,-91.798693,45.033321,-15.588457,0,cluster0
158,157,24.248711,-10.392305,-25.980762,-13.856406,5.196152,-5.196152,0,-71.014083,19.052559,-15.588457,0,cluster3
159,158,38.105118,-13.856406,-50.229473,-5.196152,-3.464102,-22.51666,1.732051,-84.87049,36.373067,-25.980762,0,cluster0
160,159,38.105118,-12.124356,-34.641016,-10.392305,-0,-3.464102,6.928203,-71.014083,38.105118,-24.248711,1,cluster2
161,160,20.78461,-10.392305,-10.392305,-3.464102,-3.464102,-6.928203,0,-50.229473,13.856406,-10.392305,1,cluster3
162,161,29.444864,-8.660254,-17.320508,-13.856406,1.732051,8.660254,3.464102,-58.889727,20.78461,-20.78461,1,cluster3
163,162,15.588457,-10.392305,-1.732051,-6.928203,-3.464102,-5.196152,5.196152,-39.837169,12.124356,-1.732051,0,cluster3
164,163,31.176915,-22.51666,-27.712813,-3.464102,1.732051,-8.660254,1.732051,-67.549981,25.980762,-17.320508,1,cluster3
165,164,27.712813,-5.196152,-8.660254,-5.196152,3.464102,-3.464102,1.732051,-51.961524,6.928203,-19.052559,0,cluster3
166,165,36.373067,-17.320508,-58.889727,-29.444864,1.732051,15.588457,3.464102,-91.798693,57.157677,-24.248711,0,cluster1
167,166,29.444864,-13.856406,-32.908965,-8.660254,-1.732051,-5.196152,3.464102,-71.014083,25.980762,-19.052559,1,cluster3
168,167,36.373067,-19.052559,-41.569219,-3.464102,0,-27.712813,3.464102,-76.210236,34.641016,-25.980762,1,cluster0
169,168,20.78461,-15.588457,-19.052559,-5.196152,-1.732051,-10.392305,1.732051,-50.229473,12.124356,-15.588457,1,cluster3
170,169,43.30127,-15.588457,-36.373067,1.732051,-3.464102,-22.51666,3.464102,-71.014083,34.641016,-27.712813,1,cluster0
171,170,29.444864,-12.124356,-8.660254,-5.196152,5.196152,-5.196152,6.928203,-45.033321,19.052559,-17.320508,1,cluster2
172,171,38.105118,-13.856406,-45.033321,-6.928203,-6.928203,-15.588457,1.732051,-81.406388,24.248711,-34.641016,1,cluster0
173,172,36.373067,-12.124356,-29.444864,-3.464102,-5.196152,-17.320508,0,-67.549981,27.712813,-19.052559,1,cluster0
174,173,25.980762,-13.856406,-22.51666,-5.196152,8.660254,-13.856406,5.196152,-53.693575,15.588457,-20.78461,1,cluster3
175,174,38.105118,-12.124356,-38.105118,-12.124356,-3.464102,-6.928203,3.464102,-69.282032,24.248711,-29.444864,1,cluster0
176,175,31.176915,-12.124356,-25.980762,-12.124356,-1.732051,-5.196152,1.732051,-65.817931,34.641016,-15.588457,1,cluster3
177,176,39.837169,-10.392305,-41.569219,-5.196152,-5.196152,-17.320508,5.196152,-77.942286,24.248711,-22.51666,1,cluster0
178,177,24.248711,-15.588457,-15.588457,-10.392305,-5.196152,-1.732051,6.928203,-55.425626,22.51666,-6.928203,1,cluster3
179,178,22.51666,-19.052559,-34.641016,-22.51666,0,5.196152,-1.732051,-71.014083,45.033321,-8.660254,1,cluster3
180,179,29.444864,-19.052559,-29.444864,-12.124356,-1.732051,-8.660254,0,-67.549981,31.176915,-20.78461,1,cluster3
181,180,27.712813,-15.588457,-34.641016,-22.51666,-1.732051,6.928203,1.732051,-71.014083,43.30127,-13.856406,1,cluster3
182,181,34.641016,-17.320508,-36.373067,-8.660254,-1.732051,-17.320508,1.732051,-74.478185,31.176915,-22.51666,1,cluster0
183,182,48.497423,-15.588457,-45.033321,-1.732051,-6.928203,-27.712813,3.464102,-88.334591,36.373067,-27.712813,0,cluster0
184,183,31.176915,-20.78461,-114.315353,-102.190998,-1.732051,83.138439,1.732051,-155.884573,116.047404,-22.51666,1,cluster1
185,184,34.641016,-19.052559,-60.621778,-25.980762,-3.464102,5.196152,0,-93.530744,48.497423,-24.248711,1,cluster1
186,185,34.641016,-19.052559,-53.693575,-25.980762,0,1.732051,0,-91.798693,48.497423,-20.78461,1,cluster1
187,186,32.908965,-20.78461,-39.837169,-8.660254,0,-12.124356,0,-72.746134,25.980762,-24.248711,1,cluster1
188,187,34.641016,-12.124356,-43.30127,-6.928203,-6.928203,-24.248711,1.732051,-79.674337,27.712813,-25.980762,1,cluster0
189,188,27.712813,-19.052559,-25.980762,-10.392305,-3.464102,-3.464102,1.732051,-65.817931,25.980762,-13.856406,1,cluster3
190,189,22.51666,-19.052559,-25.980762,-10.392305,-1.732051,-6.928203,0,-67.549981,20.78461,-10.392305,0,cluster3
191,190,34.641016,-19.052559,-51.961524,-19.052559,1.732051,0,1.732051,-84.87049,39.837169,-24.248711,1,cluster1
192,191,24.248711,-19.052559,-22.51666,-3.464102,0,-13.856406,1.732051,-57.157677,12.124356,-17.320508,1,cluster3
193,192,29.444864,-15.588457,-39.837169,-25.980762,0,10.392305,6.928203,-81.406388,43.30127,-13.856406,1,cluster2
194,193,29.444864,-15.588457,-29.444864,-15.588457,-6.928203,3.464102,0,-67.549981,38.105118,-5.196152,1,cluster3
195,194,39.837169,-17.320508,-38.105118,-5.196152,-3.464102,-17.320508,6.928203,-74.478185,29.444864,-29.444864,1,cluster2
196,195,41.569219,-15.588457,-43.30127,-5.196152,-5.196152,-25.980762,3.464102,-81.406388,32.908965,-27.712813,1,cluster0
197,196,39.837169,-17.320508,-48.497423,-12.124356,-3.464102,-19.052559,3.464102,-86.60254,46.765372,-17.320508,1,cluster0
198,197,29.444864,-13.856406,-32.908965,-20.78461,-0,1.732051,1.732051,-71.014083,39.837169,-19.052559,1,cluster3
